ts	phase	decision	why	evidence	result
2026-08-09T09:10:26Z	approval	Locked all five Section 18 and all five Section 38 recommendations as the v0.1 build contract	Prithvi explicitly approved both decision sets and asked for a holistic polished completion	outputs/ONSALE_MECHANISM_RAIL_DESIGN_ARCHITECTURE_v0.1_DRAFT.md; outputs/ONSALE_HYPERSWITCH_ORCHESTRATION_AND_FLOWS_PRD_v0.1_DRAFT.md	approved
2026-08-09T09:10:26Z	runtime	Selected Linux Node 22.23.2 and Linux-native dependencies as the only build runtime	The WSL shell exposed Windows npm shims without node, so mixing them would make builds slow and unreliable	main-prototype/scripts/native-node22.sh; mixed Windows/WSL preflight output	preflight passed and strict TypeScript passed
2026-08-09T09:20:20Z	buyer recovery	Added explicit quote retry, functional home-to-event continuity, and a resumable saved-order banner	A failed quote previously left the primary control stuck on waiting, and the ONSALE button only displayed a warning without navigating	src/App.tsx; src/index.css; tests/e2e/onsale-inventory-c2.spec.ts	focused rendering and reset-route tests green; browser regression pending integrated build
2026-08-09T09:20:20Z	reset boundary	Protected the demo-session reset with exact Origin validation and secure-cookie policy	Clearing private pointers is a state-changing route and must not accept cross-origin requests	app/api/onsale/demo/reset/route.ts; tests/server/onsale-demo-reset-route.test.ts	red attacker-origin control captured, then 2 of 2 tests passed
2026-08-09T09:25:30Z	request recovery	Bound inventory and checkout browser requests to 15 seconds	A lost or wedged request must resolve to the existing retryable failure state instead of leaving quote or checkout preparation indefinitely busy	src/use-onsale-inventory.ts; src/use-onsale-checkout.ts; tests/domain/onsale-checkout-client.test.ts	red signal control captured, then 4 of 4 focused tests passed
2026-08-09T09:43:43Z	buyer polish	Removed engineering status labels from the mobile buyer context, bounded official SDK loading, removed the unbounded lazy checkout chunk, expanded fulfilled output to one presentation pass per durable item, and added whole-journey reduced-motion equivalence	Independent buyer audit found four P1 gaps and one follow-up chunk-loading gap	src/App.tsx; src/HyperswitchCheckoutClient.tsx; src/index.css	30 of 30 focused client, reset, trace, and rail tests passed; integrated browser proof pending
2026-08-09T09:43:43Z	live trace	Made production hooks unconditional and authorized one amber live handoff only for a consecutive unchanged authoritative retrieve revision	Conditional hooks could break the landing-to-checkout transition, while the approved design permits one uniquely proven response delta but forbids inferred multi-fact chronology	src/MechanismRail.tsx; tests/domain/mechanism-rail-c2.test.tsx	22 of 22 trace and rail tests passed; hydration and changed-fact deltas remain static
2026-08-09T10:36:45Z	approved trace and flows contract	Integrated the approved six-actor fixed topology, compact Hyperswitch attempt lens, static historical selection, explicit replay, and permanently labelled deterministic local simulation	The rail must explain one payment without inventing connector, retry, webhook, or exact-current-order chronology, while the larger workbench carries complete retained evidence	src/PaymentTraceMap.tsx; src/payment-trace/model.ts; src/payment-trace/trace-geometry.ts; src/MechanismRail.tsx; app/flows/FlowsGallery.tsx; outputs/ONSALE_MECHANISM_RAIL_DESIGN_ARCHITECTURE_v0.1_DRAFT.md; outputs/ONSALE_HYPERSWITCH_ORCHESTRATION_AND_FLOWS_PRD_v0.1_DRAFT.md	41 of 41 focused trace, rail, and flows tests passed
2026-08-09T10:36:45Z	offline regression	Ran the complete local Vitest population with hosted Neon integration explicitly gated off	Local completion evidence must include the full deterministic population without implying new hosted database work	Vitest full offline run; hosted integration gate	268 tests passed; 43 hosted-Neon tests skipped by declared offline gate
2026-08-09T10:36:45Z	production build	Built the current source with the pinned Linux Node runtime and Next 16.3.0 webpack	A local review candidate requires a reproducible optimized build on one runtime family	.mise.toml; package.json; scripts/native-node22.sh; Next build output	strict TypeScript passed and Next production build passed in 23.9 seconds
2026-08-09T10:36:45Z	integrated browser red	Preserved the first full browser result instead of replacing it with focused green tests	Two narrow-width views rendered trace text at 7.5 px, below the approved 10 px floor, so integrated browser acceptance cannot close yet	browser matrix output; responsive trace assertions	25 of 27 passed; 2 real failures remain pending repair and full rerun
